,,,,,,,,June 1,,,,,,,,,,,,,,,,,,,,,,,,
Enterprise ID,Account,Team ID,Rooftop Name,Agent Opted,Go-Live Date,ARR,MRR,Days Live,# Total Leads,# Leads Interacted,% TOFU Capture,# Qualified Leads,# Transfers,% Transfers,# Appt Booked,% Appt Conversion,Quality,STL enabled?,Afterhours / Overflow / Roundrobin,Smartview Widget,Multiday followup,Coverage,Customer Sentiment,CPA,Apt value,ROI Multiple,ROI based RAG,Sorting RAG,Next Step Owner,Next Step Owner Team,Tasks to turn green,Avg lead/day
7d06f7427,Brandon Steven Motors,a0a4332434,Subaru Wichita,Service Outbound,May 31,"$8,400",$700,,Not service,Not service,Not service,Not service,Not service,Not service,Not service,,,,,,,,,,,,,,,,,#VALUE!
7d06f7427,Brandon Steven Motors,2b110492b6,Honda Reseda,Sales Outbound,May 12,"$8,400",$700,20,,157,,20,,,1,5.00%,,,,,,,,$250.00,$250.00,0.54,Red,,,,,0
7d06f7427,Brandon Steven Motors,2b110492b6,Honda Reseda,Service Outbound,May 12,"$8,400",$700,,883,Not service,Not service,62,Not service,Not service,25,,,,,,,,,,,,,,,,,#DIV/0!
b5b6954c4,Landers CDJR,c18a7a6d8d,Landers CDJR,Service Inbound,Apr 30,"$8,400",$700,32,Not live,Not live,Not live,Not live,Not live,Not live,Not live,Not live,,,,,,,,Not live,Not live,Not live,Not live,,,,,Not live
b5b6954c4,Landers CDJR,c18a7a6d8d,Landers CDJR,Sales Outbound,Apr 30,"$8,400",$700,32,,3790,,370,,,11,2.97%,,,,,,,,$250.00,"$2,750.00",3.93,Amber,,,,,0
f07925222,Principle Automotive Group,fdec030155,Principle BMW MINI of San Antonio,Sales Inbound,May 27,"$8,400",700,5,1492,1,0.07%,0,0,0.00%,0,0.00%,,Check,Check,Check,Check,,,$100.00,$0.00,0.00,Red,001-Red,,CSM,Enable STL + Followups,298
f07925222,Principle Automotive Group,fdec030155,Principle BMW MINI of San Antonio,Service Inbound,May 27,"$8,400",700,5,217,217,100.00%,94,51,23.50%,31,32.98%,,,,,,,,$50,"$9,300",13.29,Green,,,,,43
b7a9c31a8,"I-40 Autos, LLC",b4df3297f5,"I-40 Autos, LLC",Sales Inbound,Oct 10,"$8,388",$699,234,2537,2124,83.72%,2122,22,1.04%,188,8.86%,,Check,Check,Check,Check,,,$100.00,"$18,800.00",26.90,Green,003-Green,,,,85
aec6e372f,Grand Motorcars,34ddfad075,Autoplex,Sales Inbound,May 28,"$7,800",650,4,6,6,100.00%,3,0,0.00%,1,33.33%,,Check,Check,Check,Check,,,$100.00,$100.00,1.15,Red,001-Red,Shubham Mittal,Engineering,STL not working,2
aec6e372f,Grand Motorcars,a5c07ee7d2,Hyundai of Canton,Sales Inbound,May 28,"$7,800",650,4,87,86,98.85%,25,18,20.93%,10,40.00%,,Check,Check,Check,Check,,,$100.00,"$1,000.00",11.54,Green,003-Green,,Tech,STL not working,22
fe7e2e8e5,Brown-Daub Kia,5d2ffea9c0,Brown Daub Kia,Sales Inbound,Apr 30,"$7,500",$625,32,406,214,52.71%,140,8,3.74%,10,7.14%,,Yes,Overflow,No,No,,,$100.00,"$1,000.00",1.60,Red,001-Red,Shubham Mittal,Engineering,Evaluate low TOFU capture rate on STL,14
fe7e2e8e5,Brown-Daub Kia,5d2ffea9c0,Brown Daub Kia,Sales Outbound,May 06,"$7,500",$625,26,,554,,40,,,0,0.00%,,,,,,,,$250.00,$0.00,0.00,Red,,,,,0
fe7e2e8e5,Brown-Daub Kia,5d2ffea9c0,Brown Daub Kia,Service Outbound,May 06,"$7,500",$625,,Not service,Not service,Not service,Not service,Not service,Not service,Not service,,,,,,,,,,,,,,,,,#VALUE!
fe7e2e8e5,Brown-Daub Kia,5d2ffea9c0,Brown Daub Kia,Service Inbound,May 06,"$7,500",$625,26,"1,008","1,008",100.00%,352,605,60.02%,112,31.82%,,,,,,,,$50,"$6,462",10.34,Green,,,,,39
58e0896f7,Southey Ford,80dc6dcf0,Chapman Chevrolet Buick gmc ltd.,Sales Inbound,Apr 30,"$7,188",$599,32,000,000,0.00%,000,000,0.00%,000,0.00%,,,,,,,,$100.00,$0.00,0.00,Red,001-Red,Shubham Mittal,Engineering,STL not working,0
58e0896f7,Southey Ford,80dc6dcf0,Chapman Chevrolet Buick gmc ltd.,Service Inbound,Apr 30,"$7,188",$599,32,Not live,Not live,Not live,Not live,Not live,Not live,Not live,Not live,,,,,,,,Not live,Not live,Not live,Not live,,,,,Not live
58e0896f7,Southey Ford,eee817b4cd,Southey Ford,Sales Inbound,May 30,"$7,188",$599,2,000,000,0.00%,000,000,0.00%,000,0.00%,,Check,Check,Check,Check,,,$100.00,$0.00,0.00,Red,001-Red,Shubham Mittal,Engineering,STL not working,0
4f772edd8,World Car Auto Group,48d0fea7-2,World Car Kia South,Service Inbound,Feb 25,"$6,000",$500,96,819,819,100.00%,310,361,44.08%,101,32.58%,,,,,,,,$50,"$5,050",10.10,Green,,,,,27
e551635ea,Murgado,f222a4f3ff,Mercedes Laguna Niguel,Service Inbound,Mar 30,"$6,000",$500,63,308,308,100.00%,84,106,34.42%,29,34.52%,,,,,,,,$50,"$1,450",2.90,Red,,,,,10
e551635ea,Murgado,8f59b8483b,Mercedes Benz Foothill,Service Inbound,Mar 30,"$6,000",$500,63,298,298,100.00%,95,85,28.52%,34,35.79%,,,,,,,,$50,"$1,700",3.40,Amber,,,,,10
d3216c3e4,John Hiester Chevrolet,0dcef03834,John Hiester Chevrolet,Service Inbound,Sep 17,"$5,988",$499,257,41,41,100.00%,27,0,0.00%,0,0.00%,,,,,,,,$50,$0,0.00,Red,,,CSM,- Improve top the funnel,1
